ATLAS Class,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
https://schema.org/Dataset,Status,The status of a research product in its lifecycle.,URI,EU Vocabularies - Dataset Status,1,TRUE,https://schema.org/creativeWorkStatus,,/,/,/,/,,/
https://schema.org/Dataset,Has Part,A research product that is part of the current one,URI,schema:Dataset,0-n,TRUE,https://schema.org/hasPart,,http://schema.org/hasPart,/,/,/,,/
https://schema.org/Dataset,Is Part Of,A research product that the current one is part of.,URI,schema:Dataset,0-1,TRUE,https://schema.org/isPartOf,,http://schema.org/isPartOf,/,/,/,,/
https://schema.org/Dataset,Academic Field,The academic field(s) the research product pertains to. If possible; use the id and/or name of the official classification (we reccomend italian scholars to use the 'Gruppo Scientifico Disciplinare' established by CUN).,URI,schema.gov - CUN,0-n,TRUE,http://schema.org/about,,http://schema.org/about,http://www.w3.org/ns/dcat#theme,/,/,,/
https://schema.org/Dataset,Research Activities (M),Research activities afforded by the research product.,URI,TaDiRAH,1-n,TRUE,https://schema.org/educationalUse,,/,/,subjects,datacite:subject (MA),topics,dc.subject.keywords
https://schema.org/Dataset,Methodology,Research activities performed to realise the research product.,URI,TaDiRAH,1-n,TRUE,atlas:methodology,,/,/,/,/,,
https://schema.org/Dataset,Downloads (M),The URL of the downloadable files; if available; or the URL of the download page.,URL,,1-n,TRUE,https://schema.org/distribution,,https://schema.org/distribution,http://www.w3.org/ns/dcat#distribution,instance,oaire:file (MA),manifestation,/
https://schema.org/Dataset,Current Version,The current version of the research product.,xsd:String,,1,TRUE,http://schema.org/version,,http://schema.org/version,http://purl.org/dc/terms/modified,/,oaire:version (R),,/
https://schema.org/Dataset,Landing Page (M),The website where the research product is presented.,URL,,0-1,TRUE,http://schema.org/url,,/,http://www.w3.org/ns/dcat#landingPage,instance > url,oaire:file (MA),,dc.identifier.url
https://schema.org/Dataset,Bibliographic References,Bibliographic references to publications that describe or review the research product. The curator should insert the URL to the publication.,URL,,0-n,TRUE,http://schema.org/citation,,http://schema.org/citation,http://purl.org/dc/terms/isReferencedBy,isReferencedBy/references,/,,/
https://schema.org/Dataset,Research Project,The research project the resarch product belongs to.,URI,schema:ResearchProject,0-1,TRUE,http://schema.org/producer,,https://schema.org/funder,,produces / isProducedBy,oaire:fundingReference (MA),relevant_organizations; funding,dc.relation
https://schema.org/Dataset,Software reuse,The software component used to realise the research product; e.g. another research products.,URI,[fabio:ComputerProgram;fabio:metadataDocument;fabio:anthology;fabio:dataFile;fabio:ontologyDocument;schema:Dataset],0-n,TRUE,atlas:used,,/,,IsRelatedTo / IsRelatedTo,/,related_products,
https://schema.org/Dataset,Access point,The data service (API; endpoint) or website that grants access to the research product.,URI,[fabio:WebSite;fabio:ComputerProgram],0-n,TRUE,atlas:servedBy,,,,,,,
https://schema.org/Dataset,Documentation,The URL of the documentation of the research product.,URL,,0-n,TRUE,https://schema.org/usageInfo,,,,,,,
