Research product type,subclass of,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
schema:Dataset (all),https://schema.org/Dataset,Language,The language(s) in which the research product is expressed.,URI,EU Vocabularies - Language,0-n,TRUE,https://schema.org/inLanguage,,https://schema.org/inLanguage,http://purl.org/dc/terms/language,language,dc:language (MA),,dc.language.iso
schema:Dataset (all),https://schema.org/Dataset,Format,The file format(s) in which the research product’s data are stored.,URI,EU Vocabularies - File Type | IANA Media Types,0-n,TRUE,https://schema.org/encodingFormat,,https://schema.org/encodingFormat,/,/,dc:format (R),,dc.relation.medium
schema:Dataset (all),https://schema.org/Dataset,Metadata standards,Standards to which the research product’s metadata conform.,URI,Jenn Riley Dataset,0-n,TRUE,http://purl.org/dc/terms/conformsTo,,/,,,,,
schema:Dataset (all),https://schema.org/Dataset,Status,The research product’s status in its lifecycle.,URI,EU Vocabularies - Dataset Status,1,TRUE,https://schema.org/creativeWorkStatus,,/,/,/,/,,/
schema:Dataset (all),https://schema.org/Dataset,Has Part,A research product that forms part of the catalogued one.,URI,schema:Dataset,0-n,TRUE,https://schema.org/hasPart,,http://schema.org/hasPart,/,/,/,,/
schema:Dataset (all),https://schema.org/Dataset,Is Part Of,Inverse of Has Part this field indicates the research product of which the catalogued one is a component.,URI,schema:Dataset,0-1,TRUE,https://schema.org/isPartOf,,http://schema.org/isPartOf,/,/,/,,/
schema:Dataset (all),https://schema.org/Dataset,Academic Field,The academic field(s) to which the research product pertains.,URI,schema.gov - CUN,0-n,TRUE,https://schema.org/about,,http://schema.org/about,http://www.w3.org/ns/dcat#theme,/,/,,/
schema:Dataset (all),https://schema.org/Dataset,Research Activities (M),Research activities enabled or supported by the research product.,URI,TaDiRAH,1-n,TRUE,https://schema.org/educationalUse,,/,/,subjects,datacite:subject (MA),topics,dc.subject.keywords
schema:Dataset (all),https://schema.org/Dataset,Methodology,Research activities conducted to create or develop the research product.,URI,TaDiRAH,1-n,TRUE,https://w3id.org/dh-atlas/methodology,,/,/,/,/,,
schema:Dataset (all),https://schema.org/Dataset,Downloads (M),The URL of the download or download page of the research product’s files.,URL,,1-n,TRUE,https://schema.org/distribution,,https://schema.org/distribution,http://www.w3.org/ns/dcat#distribution,instance,oaire:file (MA),manifestation,/
schema:Dataset (all),https://schema.org/Dataset,Current Version,The number of the research product’s current version.,xsd:String,,1,TRUE,https://schema.org/version,,http://schema.org/version,http://purl.org/dc/terms/modified,/,oaire:version (R),,/
schema:Dataset (all),https://schema.org/Dataset,Size,"A standardized size of a product, expressed as the number of individual texts, tokens or other items. For clarity, the value must include the unit of measurement, e.g, “500 documents”, “230.000 tokens”.",xsd:String,,0-1,TRUE,https://schema.org/size,,,,,,,
schema:Dataset (all),https://schema.org/Dataset,Landing Page (M),"The URL of the web page where the research product is presented, and is possible to access its distributions.",URL,,0-1,TRUE,https://schema.org/url,,/,http://www.w3.org/ns/dcat#landingPage,instance > url,oaire:file (MA),,dc.identifier.url
schema:Dataset (all),https://schema.org/Dataset,Bibliographic References,URL of a publication that describes or reviews the research product.,URL,,0-n,TRUE,https://schema.org/citation,,http://schema.org/citation,http://purl.org/dc/terms/isReferencedBy,isReferencedBy/references,/,,/
schema:Dataset (all),https://schema.org/Dataset,Research Project,The research project within which the research product was created.,URI,schema:ResearchProject,0-1,TRUE,https://schema.org/producer,,https://schema.org/funder,,produces / isProducedBy,oaire:fundingReference (MA),relevant_organizations; funding,dc.relation
schema:Dataset (all),https://schema.org/Dataset,Software reuse,Software tools or other research products used to create or develop the research product.,URI,[schema:SoftwareApplication;schema:Dataset],0-n,TRUE,https://w3id.org/dh-atlas/used,,/,,IsRelatedTo / IsRelatedTo,/,related_products,
schema:Dataset (all),https://schema.org/Dataset,Access point,"URL of the website or data service (e.g., API, SPARQL endpoint) that grants access to the research product.",URI,[schema:WebSite;schema:SoftwareApplication],0-n,TRUE,https://w3id.org/dh-atlas/servedBy,,,,,,,
schema:Dataset (all),https://schema.org/Dataset,Documentation,The URL of the research product’s documentation.,URL,,0-n,TRUE,https://schema.org/usageInfo,,,,,,,
schema:Dataset (all),https://schema.org/Dataset,Access Rights (M),"This field indicates how the research product may be accessed. If multiple access rights exist, use this field to specify access for the main part of the product.",URI,COAR,1,TRUE,https://schema.org/conditionsOfAccess,,/,/,accessRights,datacite:rights (M),,
schema:Dataset (all),https://schema.org/Dataset,License (M),The licence under which the research product is available to the public.,URI,schema.gov - Licenze | EU Vocabularies - Licenses,1,TRUE,https://schema.org/license,,http://schema.org/license,http://purl.org/dc/terms/license,instance > license,oaire:licenseCondition (R),,/
schema:Dataset (all),https://schema.org/Dataset,Note on Research Product,Additional information about the Research Product,xsd:String,,0-1,TRUE,https://w3id.org/dh-atlas/noteOnResearchProduct,,,,,,,
schema:Dataset (all),https://schema.org/Dataset,Mentions,A set of entities to which the research product contains a reference.,URI,,0-n,FALSE,https://schema.org/mentions,https://schema.org/description,,,,,,
https://w3id.org/dh-atlas/DigitalScholarlyEdition,https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Edited work (M),URI of the cataloguing record of the edited work.,URI,"[VIAF; Open Library, catalogue]",1-n,FALSE,http://id.loc.gov/ontologies/bibframe/expressionOf,https://schema.org/contributor,,,,,,
